# genB runtime-decrypted vocabulary block
# source: VM guest RAM region dump, pid 9120 (EPT_3C9F3CEF_69BB4F9F.exe), arm RG2
# snapshot qoder-armed-20260919, 2026-09-19 15:20 (+08:00)
# image base 0x140000000; block 0x140f8c800-0x140f99000; extracted from base64 channel only
# NOTE: this is decrypted *data*, from the host's point of view never written as raw memory.
0x140f8cb60  RtlGetVersion
0x140f90a60  Software\Policies\Microsoft\Windows NT\SystemRestore
0x140f90a98  CEIPEnable
0x140f90aa8  SOFTWARE\Policies\Microsoft\SQMClient\Windows
0x140f90af0  PauseFeatureUpdatesStartTime
0x140f90b10  SOFTWARE\Microsoft\WindowsUpdate\UX\Settings
0x140f90b58  PauseFeatureUpdatesEndTime
0x140f90b78  PauseQualityUpdatesStartTime
0x140f90b98  PauseQualityUpdatesEndTime
0x140f90bb8  PauseUpdatesStartTime
0x140f90bd0  PauseUpdatesExpiryTime
0x140f90be8  FlightSettingsMaxPauseDays
0x140f90c08  FeatureSettingsOverride
0x140f90c20  SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
0x140f90c68  FeatureSettingsOverrideMask
0x140f90c88  FeatureSettings
0x140f90c98  Enabled
0x140f90ca0  SYSTEM\CurrentControlSet\Control\DeviceGuard\Scenarios\HypervisorEnforcedCodeIntegrity
0x140f90cf8  VerifiedAndReputablePolicyState
0x140f90d18  SYSTEM\CurrentControlSet\Control\CI\Policy
0x140f90d48  EnableLUA
0x140f90d58  SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
0x140f90d98  FilterAdministratorToken
0x140f90db8  HiberbootEnabled
0x140f90dd0  SYSTEM\CurrentControlSet\Control\Session Manager\Power
0x140f90e08  ShutdownWithoutLogon
0x140f91df8  C:\Windows\Temp\HardwareTask.xml
0x140f91e20  <HOST_PATH>\<DIR>Task.xml
0x140f91e58  chcp 65001 >nul
0x140f91e70  setlocal
0x140f91ea0  echo Usage: EPT del
0x140f91eb8  exit /b 1
0x140f91ec8  :clear
0x140f91ef0  if errorlevel 1 (
0x140f91f10      powershell -NoProfile -ExecutionPolicy Bypass -Command "Start-Process -FilePath '%~f0' -ArgumentList 'del' -Verb RunAs -Wait"
0x140f91f98      exit /b %errorlevel%
0x140f91fb8  taskkill /f /im Hardware.exe >nul 2>nul
0x140f91fe8  taskkill /f /im R3.exe >nul 2>nul
0x140f92010  schtasks /Delete /TN "\Microsoft\Hardware" /F >nul 2>nul
0x140f92050  del /f /q "C:\Windows\System32\Hardware.exe" >nul 2>nul
0x140f92090  del /f /q "C:\Windows\System32\Hardware" >nul 2>nul
0x140f920c8  del /f /q "<HOST_PATH>\<DIR>ware.exe" >nul 2>nul
0x140f92108  del /f /q "<HOST_PATH>\<DIR>ware" >nul 2>nul
0x140f92140  del /f /q "C:\Windows\Temp\HardwareTask.xml" >nul 2>nul
0x140f92180  del /f /q "<HOST_PATH>\<DIR>Task.xml" >nul 2>nul
0x140f92230  rmdir /s /q "C:\Windows\System32\HardwareLogs" >nul 2>nul
0x140f922a8  rmdir /s /q "<HOST_PATH>\<DIR>wareLogs" >nul 2>nul
0x140f922e8  echo [OK] HWID deployment data cleared
0x140f92318  exit /b 0
0x140f92328  -reboot
0x140f92410  rmdir /s /q "C:\Windows\System32\Logs"
0x140f92438  rmdir /s /q "C:\Windows\System32\HardwareLogs"
0x140f92468  rmdir /s /q "<HOST_PATH>\<DIR>"
0x140f92490  rmdir /s /q "<HOST_PATH>\<DIR>wareLogs"
0x140f92508  StoredVerify.begin
0x140f92520  StoredVerify.StoredAuthorizationUsable
0x140f92550  <REDACTED_EMBEDDED_VERIFY_TOKEN>
0x140f92640  StoredVerify.SP_Verify_Init
0x140f92660  StoredVerify.init_failed_soft_allow
0x140f92688  yz.hwid001.com
0x140f92698  StoredVerify.SetHost yz.hwid001.com:1029
0x140f926c8  StoredVerify.SP_Verify_GetServerOption
0x140f926f0  StoredVerify.option_failed_soft_allow
0x140f92718  StoredVerify.SP_Verify_CardLogin
0x140f92740  StoredVerify.cardlogin_denied_clear_or_block
0x140f92770  StoredVerify.cardlogin_failed_soft_allow
0x140f927a0  StoredVerify.SP_Verify_IsLogin
0x140f927c0  StoredVerify.islogin_failed_soft_allow
0x140f927e8  stage=StoredVerify.SP_Cloud_Beat ok=%d ret=%d name=%s
0x140f92820  StoredVerify.beat_hard_deny_clear_or_block
0x140f92850  StoredVerify.beat_not_soft_allow_clear_or_block
0x140f92880  StoredVerify.allow
0x140f92930  sc.exe config "AntiCheatExpert Protection" start= delayed-auto
0x140f92970  sc.exe config "AntiCheatExpert Service" start= delayed-auto
0x140f929b0  SeDebugPrivilege
0x140f92ae0  MAIN startup admin=%d cfgMissing=%d cfgPath=%s exePath=%s
0x140f92c1f   -now -reboot -ins -c 
0x140f92c37   ept del
0x140f92c4a  -now 
0x140f92c51   -reboot 
0x140f92c7a  -now 
0x140f92d10  CliConfigUpdate.begin
0x140f92d28  CliConfigUpdate.LoadConfig
0x140f92d48  CliConfigUpdate.StoredAuthorizationUsable
0x140f92da0  CliConfigUpdate.VerifyStoredCardStatusBeforeUse
0x140f92dd0  Error
0x140f92dd8  Dynamic serial generate failed.
0x140f92e50  SetupFlow.begin
0x140f92e60  Setup.SP_Verify_Init
0x140f92e88  Setup.SetHost yz.hwid001.com:1029
0x140f92eb0  Setup.SP_Verify_GetServerOption
0x140f92ee8  Setup.SP_Verify_GetNotice
0x140f92f10  stage=Setup.SP_Verify_GetLastestVersionInfo ret=%d name=%s self=%d server=%d force=%d
0x140f92fb8  Setup.SP_Verify_CardLogin
0x140f930d9  Dynamic serial: 
0x140f93108  Setup.SaveConfig
0x140f93140  Setup.StoredAuthorizationUsableAfterSave
0x140f93190  Setup.SP_Verify_IsLogin
0x140f93208  StoredFlow.begin
0x140f93220  StoredFlow.LoadConfig
0x140f93238  StoredFlow.StoredAuthorizationUsable
0x140f93288  Dynamic serial save failed.
0x140f932a8  Dynamic serial: 
0x140f932c0  StoredFlow.VerifyStoredCardStatusBeforeUse
0x140f93350  RUN dse_read ret=%lu captured=%d method=%d provider=%s line=%lu
0x140f933b0  RUN dse_disable ret=%lu method=%d provider=%s startRc=%d startWin32=%lu helper=%d line=%lu
0x140f93420  Run.StoredAuthorizationUsableBeforeDriver
0x140f93470  RUN comm_init result=%d commStage=%s commWin32=%lu driverStage=%s driverWin32=%lu nt=0x%08lX driver=%s comm=%s ioctlRun=0x%08lX session=0x%08lX
0x140f93500  Dynamic serial is empty.
0x140f93560   HWID 
0x140f93570  RUN apply soft_success dynamic=%d cliSwitch=%d commStage=%s driverStage=%s
0x140f93609  HWID-RUN-FAILED
0x140f93620  Run.skip_driver_load_because_authorization_not_usable
0x140f93688  invalid string position
0x140f93868  MWR1S
0x140f9386e  LySPQR
0x140f97cdd  jdldn
