== C55  B1 两个"决定性被调方"地址的字节级核对（纯离线，不花一臂）==
问题：0x141a1ff1b（FUN_1407a3000 的返回值来源）与 0x1417612fa（终止块的被叫方）
      是 P4§4.4/§4.15 从 Ghidra 伪代码里读出来的地址，六臂的 BR 系列都以它们为唯一未知量。
      BR7Q 把两页都读回成非零（509/512、503/512），但两页都不像函数入口。⇒ 先怀疑地址本身。

--- 1. 搜索面（每条阴性都必须自带覆盖）---
   RG2_region_0x140e00000.bin         4194304 B  VA 0x140e00000..
   stream_rdata.bin                    262144 B  raw blob（无段表可归位）
   stream_rdatafront.bin              1048576 B  raw blob（无段表可归位）
   stream_text.bin                    8257536 B  VA 0x140001000..
   合计 13762560 B（13.8 MB）

--- 2. 目标地址能否以任何 call/立即数形式出现在明文里 ---
   0x0000000141a1ff1b (rva 0x1a1ff1b):  E8target@RG2_region_0x140e00000=0  E8target@stream_text=0  imm32le@RG2_region_0x140e00000=0  imm32le@stream_rdata=0  imm32le@stream_rdatafront=0  imm32le@stream_text=0
   0x00000001417612fa (rva 0x17612fa):  E8target@RG2_region_0x140e00000=0  E8target@stream_text=0  imm32le@RG2_region_0x140e00000=0  imm32le@stream_rdata=0  imm32le@stream_rdatafront=0  imm32le@stream_text=0
   ⇒ 两个地址在 13.7 MB 明文里既不是任何 E8 的目标，也没有作为 4 字节立即数出现过一次。
     它们只出现在反编译产物里。B1 的"唯一未决量"因此是建在二手地址上的。

--- 3. 明文真正点名的 .Sq> 被调方（逐字节线性扫描，按 .pdata 条目起解并跟随尾填充跳转）---
   闸门 FUN_1407a3080 0x1407a3080..0x1407a3323: 9 个对齐的 .Sq> 调用点
      0x0001407a48a1 -> 0x0001413cd504 (页 0x0001413cd000 +0x504)
      0x0001407a490b -> 0x00014199ca4f (页 0x00014199c000 +0xa4f)
      0x0001407a492a -> 0x00014170cb2a (页 0x00014170c000 +0xb2a)
      0x0001407a496b -> 0x000141714a41 (页 0x000141714000 +0xa41)
      0x0001407a497a -> 0x000141970a6a (页 0x000141970000 +0xa6a)
      0x0001407a4b1b -> 0x000141a00c74 (页 0x000141a00000 +0xc74)
      0x0001407a4bae -> 0x000141617231 (页 0x000141617000 +0x231)
      0x0001407a4bbc -> 0x000141aef86b (页 0x000141aef000 +0x86b)
      0x0001407a4d5c -> 0x000141471124 (页 0x000141471000 +0x124)
      0x0001407a4d69 -> 0x00014163d03f (页 0x00014163d000 +0x03f)
      0x0001407a4dca -> 0x0001418348b9 (页 0x000141834000 +0x8b9)
      0x0001407a4dd9 -> 0x0001416cf07a (页 0x0001416cf000 +0x07a)
      0x0001407a4f7c -> 0x000141ab8823 (页 0x000141ab8000 +0x823)
      0x0001407a4f86 -> 0x0001414c9414 (页 0x0001414c9000 +0x414)
      0x0001407a4f94 -> 0x00014155aafc (页 0x00014155a000 +0xafc)
      0x0001407a4ff0 -> 0x000141537bd0 (页 0x000141537000 +0xbd0)
      0x0001407a4ffd -> 0x00014162dc2f (页 0x00014162d000 +0xc2f)
      0x0001407a519c -> 0x000141575805 (页 0x000141575000 +0x805)
      0x0001407a51a7 -> 0x000141a3efdf (页 0x000141a3e000 +0xfdf)
      0x0001407a51b4 -> 0x0001418d3807 (页 0x0001418d3000 +0x807)
      0x0001407a5232 -> 0x0001418a88a8 (页 0x0001418a8000 +0x8a8)
      0x0001407a5240 -> 0x0001419e3392 (页 0x0001419e3000 +0x392)
      0x0001407a53db -> 0x0001419cd73e (页 0x0001419cd000 +0x73e)
      0x0001407a53e7 -> 0x000141912002 (页 0x000141912000 +0x002)
      0x0001407a53f3 -> 0x00014168de01 (页 0x00014168d000 +0xe01)
      0x0001407a55dd -> 0x0001418c5d08 (页 0x0001418c5000 +0xd08)
      0x0001407a55e8 -> 0x000141834a9a (页 0x000141834000 +0xa9a)
      0x0001407a55f4 -> 0x0001417abc74 (页 0x0001417ab000 +0xc74)
      0x0001407a56bd -> 0x000141a5754e (页 0x000141a57000 +0x54e)
      0x0001407a56cb -> 0x000141576f22 (页 0x000141576000 +0xf22)
      0x0001407a56f1 -> 0x00014192a220 (页 0x00014192a000 +0x220)
      0x0001407a56fb -> 0x00014186a279 (页 0x00014186a000 +0x279)
      0x0001407a585e -> 0x00014117540c (页 0x000141175000 +0x40c)
      0x0001407a588b -> 0x0001411831ed (页 0x000141183000 +0x1ed)
      0x0001407a58ba -> 0x00014117b2c5 (页 0x00014117b000 +0x2c5)
      0x0001407a5a41 -> 0x000141ace9bd (页 0x000141ace000 +0x9bd)
      0x0001407a5a63 -> 0x0001419a92b0 (页 0x0001419a9000 +0x2b0)
      0x0001407a5ac3 -> 0x0001418497db (页 0x000141849000 +0x7db)
      0x0001407a5ad7 -> 0x0001418f8893 (页 0x0001418f8000 +0x893)
      0x0001407a5aee -> 0x0001415fc8d8 (页 0x0001415fc000 +0x8d8)
      0x0001407a5b2f -> 0x0001415d76c2 (页 0x0001415d7000 +0x6c2)
      0x0001407a5b58 -> 0x0001415421ce (页 0x000141542000 +0x1ce)
      0x0001407a5b6a -> 0x00014171d269 (页 0x00014171d000 +0x269)
      0x0001407a5da3 -> 0x000141a640de (页 0x000141a64000 +0x0de)
      0x0001407a5db6 -> 0x0001418a0b7f (页 0x0001418a0000 +0xb7f)
      0x0001407a5e17 -> 0x0001418f644d (页 0x0001418f6000 +0x44d)
      0x0001407a5e29 -> 0x0001416a84a6 (页 0x0001416a8000 +0x4a6)
      0x0001407a5e59 -> 0x00014199580d (页 0x000141995000 +0x80d)
      0x0001407a5e6d -> 0x0001419b8c4d (页 0x0001419b8000 +0xc4d)
      0x0001407a5e9a -> 0x0001413db609 (页 0x0001413db000 +0x609)
      0x0001407a5f1a -> 0x00014118e59e (页 0x00014118e000 +0x59e)
      0x0001407a610c -> 0x0001417e9953 (页 0x0001417e9000 +0x953)
      0x0001407a6131 -> 0x0001415a8b97 (页 0x0001415a8000 +0xb97)
      0x0001407a61d1 -> 0x000141b1c013 (页 0x000141b1c000 +0x013)
      0x0001407a61f1 -> 0x00014156396e (页 0x000141563000 +0x96e)
      0x0001407a6206 -> 0x000141a349b3 (页 0x000141a34000 +0x9b3)
      0x0001407a624a -> 0x00014147bbe6 (页 0x00014147b000 +0xbe6)
      0x0001407a6261 -> 0x00014118e67d (页 0x00014118e000 +0x67d)
      0x0001407a62e5 -> 0x000141af8b76 (页 0x000141af8000 +0xb76)
      0x0001407a6699 -> 0x000141a65662 (页 0x000141a65000 +0x662)
      0x0001407a66a0 -> 0x0001417215d8 (页 0x000141721000 +0x5d8)
      0x0001407a66bd -> 0x0001414d92e1 (页 0x0001414d9000 +0x2e1)
      0x0001407a66c5 -> 0x0001418e0ada (页 0x0001418e0000 +0xada)
      0x0001407a66e3 -> 0x000141998c81 (页 0x000141998000 +0xc81)
      0x0001407a66ea -> 0x0001419e8085 (页 0x0001419e8000 +0x085)
      0x0001407a6708 -> 0x0001416b46da (页 0x0001416b4000 +0x6da)
      0x0001407a670f -> 0x000141a7ff6f (页 0x000141a7f000 +0xf6f)
      0x0001407a672c -> 0x00014117aa9c (页 0x00014117a000 +0xa9c)
      0x0001407a6735 -> 0x0001417ecf7e (页 0x0001417ec000 +0xf7e)
      0x0001407a6780 -> 0x000141913b82 (页 0x000141913000 +0xb82)
      0x0001407a6787 -> 0x0001416da6bd (页 0x0001416da000 +0x6bd)
      0x0001407a67bf -> 0x000141a08aec (页 0x000141a08000 +0xaec)
      0x0001407a68b6 -> 0x000141463910 (页 0x000141463000 +0x910)
      0x0001407a68cc -> 0x0001419098a0 (页 0x000141909000 +0x8a0)
      0x0001407a6927 -> 0x000141ad08fd (页 0x000141ad0000 +0x8fd)
      0x0001407a693a -> 0x00014194b8f2 (页 0x00014194b000 +0x8f2)
      0x0001407a6b38 -> 0x00014159578f (页 0x000141595000 +0x78f)
      0x0001407a6ba2 -> 0x00014183fa17 (页 0x00014183f000 +0xa17)
      0x0001407a6bd5 -> 0x0001417759c8 (页 0x000141775000 +0x9c8)
      0x0001407a6c3f -> 0x00014166e36f (页 0x00014166e000 +0x36f)
      0x0001407a6c5d -> 0x0001415bab23 (页 0x0001415ba000 +0xb23)
      0x0001407a6c9a -> 0x0001414d31d9 (页 0x0001414d3000 +0x1d9)
      0x0001407a6ca8 -> 0x0001415e7c47 (页 0x0001415e7000 +0xc47)
      0x0001407a6eb0 -> 0x000141976583 (页 0x000141976000 +0x583)
      0x0001407a6f6d -> 0x000141794d13 (页 0x000141794000 +0xd13)
      0x0001407a7177 -> 0x000141a7c808 (页 0x000141a7c000 +0x808)
      0x0001407a7182 -> 0x00014197d197 (页 0x00014197d000 +0x197)
      0x0001407a71f9 -> 0x000141821603 (页 0x000141821000 +0x603)
      0x0001407a7208 -> 0x00014171f206 (页 0x00014171f000 +0x206)
      0x0001407a7402 -> 0x000141175ae0 (页 0x000141175000 +0xae0)
      0x0001407a740d -> 0x000141b19d18 (页 0x000141b19000 +0xd18)
      0x0001407a7418 -> 0x00014188ee34 (页 0x00014188e000 +0xe34)
      0x0001407a748e -> 0x000141796b82 (页 0x000141796000 +0xb82)
      0x0001407a749c -> 0x0001414e84b5 (页 0x0001414e8000 +0x4b5)
      0x0001407a7693 -> 0x0001417d0591 (页 0x0001417d0000 +0x591)
      0x0001407a769d -> 0x0001414318c4 (页 0x000141431000 +0x8c4)
      0x0001407a76a8 -> 0x000141a9214d (页 0x000141a92000 +0x14d)
      0x0001407a7745 -> 0x0001414c9d6b (页 0x0001414c9000 +0xd6b)
      0x0001407a7753 -> 0x0001414c80e6 (页 0x0001414c8000 +0x0e6)
      0x0001407a782a -> 0x00014173ede8 (页 0x00014173e000 +0xde8)
      0x0001407a7834 -> 0x000141b1591e (页 0x000141b15000 +0x91e)
      0x0001407a7840 -> 0x00014185e21c (页 0x00014185e000 +0x21c)
      0x0001407a7914 -> 0x000141459088 (页 0x000141459000 +0x088)
      0x0001407a791f -> 0x0001417eddb6 (页 0x0001417ed000 +0xdb6)
      0x0001407a792a -> 0x00014180ac65 (页 0x00014180a000 +0xc65)
      0x0001407a79f7 -> 0x00014168eaeb (页 0x00014168e000 +0xaeb)
      0x0001407a7ae8 -> 0x000141a47d82 (页 0x000141a47000 +0xd82)   <== main 的 `...; int3` 块真正点名的被调方
      0x0001407a7af0 -> 0x00014152ab26 (页 0x00014152a000 +0xb26)   <== main 的 `...; int3` 块真正点名的被调方
      0x0001407a7b0d -> 0x000141667867 (页 0x000141667000 +0x867)   <== main 的 `...; int3` 块真正点名的被调方
      0x0001407a7b15 -> 0x0001419b182d (页 0x0001419b1000 +0x82d)   <== main 的 `...; int3` 块真正点名的被调方
      0x0001407a7b49 -> 0x0001413da113 (页 0x0001413da000 +0x113)
      0x0001407a7b50 -> 0x0001414d340f (页 0x0001414d3000 +0x40f)

--- 4. 参照形状：同一个二进制里"看起来像终止"的明文代码长什么样 ---
   0x0001407b9bd4  `call 0x1407b9bd4 ; int3` = MSVC /GS 失败上报
        sub    rsp, 0x38
        and    qword ptr [rsp + 0x20], 0
        xor    r9d, r9d
        xor    r8d, r8d
        xor    edx, edx
   0x0001407b16b0  `__security_check_cookie`：cmp rcx,[cookie] 不符即跳走
        cmp    rcx, qword ptr [rip + 0x7ed959]
        jne    0x1407b16c9
        rol    rcx, 0x10
        test   cx, 0xffff
        jne    0x1407b16c5
   ⇒ 这条链的签名是 `sub rsp / 四个 0 实参 / call _invoke_watson` + `int3`；
     若终止块那两个 .Sq> 被调方在运行期显出同样形状，那么未处理 int3 给出的退出码属于
     failfast 家族（0xC0000409 一类），不是冻结判据里的 0x80000003。

--- 5. BR7Q 实测：判"是不是 x86"的校准（同一工具、同 512 B）---
   POSITIVE  FUN_1407a3080 入口（明文 .text）      cov=99.6%  odd=0   rel32 17/17 落在镜像内
   NEGATIVE  C13 高熵区（main 区间内，已知非代码）  cov=21.5%  odd=4   （cov96 97.9% ⇒ 前 96 字节覆盖率是坏指标，别用）
   NEGATIVE  同一段 XOR 扰动                        cov=19.1%  odd=7
   NEGATIVE  静态捕获里仍是密文的 .text 页 0x140772900  cov=1.4%  odd=0
   实测      blk_ret  @0x141a1ff1b  cov=11.8%  odd=5   ⇒ 比已知非代码还差，这个地址上没有 x86 序言
   实测      term_callee @0x1417612fa cov=49.2% odd=1  `pop rdx; call; call` 后走形 ⇒ 半个代码岛，不是入口

--- 6. 结论与仍然开着的量 ---
1) B1 的"唯一未决量"按原措辞不成立：那两个地址没有字节级支持，读到的页也不是函数入口（第 2、5 节）。
2) 明文真正点名的 .Sq> 被调方是第 3 节那些（main 的 int3 块四个：0x141a47d82 / 0x14152ab26 /
   0x141667867 / 0x1419b182d；闸门函数体内 11 个），BR7R 正按这份清单去读第 4 节参照形状。
3) "阻断是否终止进程"另有两条不依赖退出码的判据：rmdir 清理留痕（CLEAN_PRE/POST）与
   模态对话框（WINSTA responding/title）。冻结判据 judge_branch.py 一字未动。
4) 仍开着的量：上述四个被调方在样本存活期间的字节（一臂），以及它们是否 = failfast 包装。
